2025-10-26 17:00:35.806 INFO  [background-preinit] o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-10-26 17:00:35.986 INFO  [main] c.c.c.ClassManagementApplication - Starting ClassManagementApplication using Java 24 with PID 11908 (C:\Users\nitin\OneDrive\Desktop\classmanagement\target\classes started by nitin in C:\Users\nitin\OneDrive\Desktop\classmanagement)
2025-10-26 17:00:35.989 INFO  [main] c.c.c.ClassManagementApplication - No active profile set, falling back to 1 default profile: "default"
2025-10-26 17:00:41.135 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-10-26 17:00:41.453 INFO  [main] o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 267 ms. Found 5 JPA repository interfaces.
2025-10-26 17:00:44.972 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-10-26 17:00:45.034 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-10-26 17:00:45.041 INFO  [main] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-10-26 17:00:45.042 INFO  [main] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-10-26 17:00:45.359 INFO  [main] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-10-26 17:00:45.361 INFO  [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 9182 ms
2025-10-26 17:00:46.894 INFO  [main] o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-10-26 17:00:47.127 INFO  [main] org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-10-26 17:00:47.268 INFO  [main] o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-10-26 17:00:48.007 INFO  [main] o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-10-26 17:00:48.101 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-10-26 17:00:48.991 INFO  [main] com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@44c27b8b
2025-10-26 17:00:48.999 INFO  [main] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-10-26 17:00:49.346 WARN  [main] org.hibernate.orm.deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-10-26 17:00:49.355 WARN  [main] org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
2025-10-26 17:00:52.230 INFO  [main] o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-10-26 17:00:52.413 INFO  [main] o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-10-26 17:00:55.834 WARN  [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-10-26 17:00:58.481 INFO  [main] o.s.b.a.e.web.EndpointLinksResolver - Exposing 14 endpoint(s) beneath base path '/actuator'
2025-10-26 17:00:58.864 INFO  [main] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6d3dc0c5, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4467088e, org.springframework.security.web.context.SecurityContextHolderFilter@2b1818d1, org.springframework.security.web.header.HeaderWriterFilter@1435a8ca, org.springframework.web.filter.CorsFilter@283074e8, org.springframework.security.web.authentication.logout.LogoutFilter@5fe80760, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@72e9c0a0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3d41881, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7d0bbc49, org.springframework.security.web.access.ExceptionTranslationFilter@4e7bf371, org.springframework.security.web.access.intercept.AuthorizationFilter@2541b4d3]
2025-10-26 17:01:01.252 INFO  [main] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-10-26 17:01:01.299 INFO  [main] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2025-10-26 17:01:01.346 INFO  [main] c.c.c.ClassManagementApplication - Started ClassManagementApplication in 27.681 seconds (process running for 29.172)
2025-10-26 17:13:06.298 INFO  [SpringApplicationShutdownHook] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-10-26 17:13:06.322 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-10-26 17:13:06.330 INFO  [SpringApplicationShutdownHook] com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
